Resource Type,Arizona,California,Colorado,Idaho,Montana Western,Nevada,New Mexico Western,Oregon,Utah,Washington,Wyoming,El Paso,Coast,East,Far West,North,North Central,South,South Central,West,East Texas,Texas Panhandle,Alabama,Arkansas,Connecticut,Delaware,Florida,Georgia,Iowa,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana Eastern,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico Eastern,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Virginia,Vermont,Wisconsin,West Virginia
coal,30403.392,318.876,29948.675,29.188,14003.160,2166.831,18365.269,1898.202,25939.443,4601.726,40026.874,0.000,12244.469,41248.699,0.000,2485.825,13265.643,5468.957,26293.020,0.000,9555.977,10668.343,34258.405,23800.070,177.370,479.350,41477.954,37890.475,25198.347,59337.802,72533.080,23096.064,67952.425,12013.649,1874.932,13826.213,69.823,41225.684,23206.289,60321.889,5342.026,266.062,37435.780,26580.350,21897.715,422.017,1314.541,0.000,1770.238,68775.164,19158.044,54672.030,0.000,21002.913,2082.680,31167.634,16499.412,0.000,33362.841,71512.961
dfo,51.595,34.643,6.311,0.183,10.409,10.985,51.683,4.850,31.552,13.529,51.961,1.089,0.245,20.664,2.228,5.586,1.592,6.663,26.488,0.189,14.731,0.470,34.353,39.008,63.780,39.854,770.497,90.103,238.770,69.449,102.006,28.324,88.047,14.478,420.319,159.672,109.206,101.667,30.513,73.671,17.785,0.275,248.855,29.782,0.000,9.129,34.263,0.000,195.594,217.294,17.261,270.955,24.163,83.818,2.931,121.581,535.361,2.347,26.309,122.369
geothermal,0.000,11457.299,0.000,71.995,0.000,3353.399,14.218,183.700,485.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
hydro,7401.466,30683.589,2444.138,9033.272,10082.529,1789.219,147.972,34549.366,759.542,78348.633,973.488,0.000,122.742,0.000,0.000,336.447,143.680,88.636,387.926,93.604,168.970,0.000,7462.945,3608.810,234.988,0.000,174.551,5173.998,916.789,132.834,426.265,30.538,3477.930,1103.023,2161.236,1392.187,2999.688,3446.973,1208.502,1982.838,0.000,0.000,4489.092,1912.005,1529.430,1145.386,537.035,0.000,27784.974,500.320,2664.281,4202.499,2.128,6160.029,4132.504,9532.675,4872.869,1077.517,2795.258,1638.247
ng,34182.808,98428.599,12679.439,3321.462,365.147,28922.354,4742.865,15306.661,8745.419,11383.838,1146.281,2819.393,72145.665,10298.875,5114.426,11700.879,38847.003,16841.778,24424.007,4601.084,34488.525,7208.370,57827.671,18171.187,17951.503,8064.946,158464.439,52862.465,2960.947,17684.592,22776.553,2027.207,8228.334,68151.525,21143.936,5445.748,3498.340,30927.074,8928.076,6031.568,50094.739,119.499,39251.102,1111.354,537.862,4744.436,44014.621,5214.688,56844.991,29663.392,36529.086,68536.271,6290.503,16366.854,900.452,11333.903,40904.843,1.965,15472.759,1249.218
nuclear,32377.477,18907.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9625.622,0.000,0.000,21694.303,0.000,0.000,0.000,20385.142,0.000,0.000,0.000,0.000,0.000,39901.879,13421.022,16575.492,0.000,29320.022,34480.662,4702.665,98607.038,0.000,8246.042,0.000,17151.826,5414.318,14760.177,0.000,31551.710,13860.816,9430.179,5897.272,0.000,42786.087,0.000,9350.591,10761.163,29885.187,0.000,41570.990,16817.386,0.000,82924.011,0.000,55825.916,0.000,29578.086,29731.895,0.000,10151.394,0.000
solar,3737.659,19301.101,538.109,29.801,0.000,2565.749,679.286,40.936,1053.661,0.727,0.000,28.208,0.000,0.000,113.372,70.109,3.754,0.000,220.466,294.901,0.000,0.000,31.261,26.142,24.518,51.086,223.983,880.923,0.151,48.810,225.841,2.102,11.732,0.000,604.033,208.657,0.000,9.235,10.107,32.684,0.000,0.000,3410.123,0.000,3.981,0.000,821.673,83.057,139.611,65.558,5.436,73.045,14.663,4.971,0.364,78.617,20.908,59.031,2.671,0.000
wind,541.582,13442.864,9421.204,2578.415,2040.072,343.865,1727.741,7157.128,822.282,8041.847,4389.338,0.000,186.976,4137.723,8831.370,5569.974,4928.789,11362.885,1734.217,16544.881,0.000,4233.969,0.000,0.000,12.742,5.321,0.000,0.000,20076.023,10663.434,4899.474,14110.881,0.000,0.000,216.123,527.114,1667.103,4695.783,10491.209,1121.883,0.000,100.119,6.233,8171.922,3785.019,432.324,20.841,1877.680,3940.180,1245.337,20069.089,3476.246,26.532,0.000,2530.270,37.747,0.000,291.182,1515.261,1432.154
other,214.378,6745.818,216.356,596.621,469.388,76.292,18.092,1040.968,296.935,2075.802,68.688,0.000,1171.256,98.651,0.000,0.000,276.614,95.782,214.088,0.000,601.644,0.000,3346.726,1378.820,1461.422,90.704,7794.983,4796.136,302.838,740.920,795.840,58.833,515.033,8407.615,2064.047,923.451,3170.268,2797.932,2300.964,151.963,1529.473,326.868,3212.787,51.039,97.817,1768.038,1701.607,0.000,3211.927,1637.627,390.096,3299.508,206.896,2451.817,0.000,952.950,4553.572,479.165,1640.119,0.000

